"Symbol: ZQM20",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2017-06-30,98.15,98.15,98.15,98.15,0,,
2017-07-03,98.095,98.1,98.085,98.09,-0.060000000000002274,20,20
2017-07-05,98.085,98.095,98.075,98.085,-0.005000000000009663,,20
2017-07-06,98.06,98.06,98.045,98.06,-0.024999999999991473,,20
2017-07-07,98.045,98.045,98.04,98.045,-0.015000000000000568,,20
2017-07-10,98.085,98.085,98.085,98.085,0.03999999999999204,,20
2017-07-11,98.105,98.115,98.07,98.105,0.020000000000010232,,20
2017-07-12,98.165,98.18,98.165,98.165,0.060000000000002274,,20
2017-07-13,98.16,98.16,98.145,98.16,-0.005000000000009663,,20
2017-07-14,98.185,98.21,98.185,98.185,0.025000000000005684,,20
2017-07-17,98.215,98.22,98.215,98.215,0.030000000000001137,,20
2017-07-18,98.25,98.26,98.25,98.25,0.03499999999999659,,20
2017-07-19,98.245,98.245,98.24,98.245,-0.0049999999999954525,,20
2017-07-20,98.24,98.255,98.235,98.24,-0.005000000000009663,,20
2017-07-21,98.265,98.265,98.265,98.265,0.025000000000005684,,20
2017-07-24,98.24,98.24,98.235,98.24,-0.025000000000005684,,20
2017-07-25,98.175,98.175,98.175,98.175,-0.06499999999999773,,20
2017-07-26,98.235,98.235,98.235,98.235,0.060000000000002274,,20
2017-07-27,98.23,98.23,98.205,98.23,-0.0049999999999954525,,20
2017-07-28,98.25,98.25,98.195,98.25,0.01999999999999602,,20
2017-07-31,98.25,98.25,98.245,98.25,0,,20
2017-08-01,98.27,98.275,98.27,98.27,0.01999999999999602,,20
2017-08-02,98.285,98.285,98.285,98.285,0.015000000000000568,,20
2017-08-03,98.31,98.31,98.31,98.31,0.025000000000005684,,20
2017-08-04,98.285,98.285,98.285,98.285,-0.025000000000005684,,20
2017-08-07,98.285,98.285,98.285,98.285,0,,20
2017-08-08,98.275,98.275,98.275,98.275,-0.009999999999990905,,20
2017-08-09,98.295,98.295,98.295,98.295,0.01999999999999602,,20
2017-08-10,98.31,98.31,98.31,98.31,0.015000000000000568,,20
2017-08-11,98.365,98.365,98.365,98.365,0.05499999999999261,,20
2017-08-14,98.335,98.335,98.335,98.335,-0.030000000000001137,,20
2017-08-15,98.305,98.305,98.305,98.305,-0.029999999999986926,,20
2017-08-16,98.33,98.33,98.33,98.33,0.024999999999991473,,20
2017-08-17,98.34,98.34,98.34,98.34,0.010000000000005116,,20
2017-08-18,98.345,98.345,98.345,98.345,0.0049999999999954525,,20
2017-08-21,98.365,98.365,98.365,98.365,0.01999999999999602,,20
2017-08-22,98.36,98.36,98.355,98.36,-0.0049999999999954525,,20
2017-08-23,98.395,98.395,98.395,98.395,0.03499999999999659,,20
2017-08-24,98.38,98.38,98.38,98.38,-0.015000000000000568,,20
2017-08-25,98.395,98.395,98.36,98.395,0.015000000000000568,,20
2017-08-28,98.415,98.415,98.39,98.415,0.020000000000010232,,20
2017-08-29,98.445,98.47,98.445,98.445,0.029999999999986926,,20
2017-08-30,98.43,98.43,98.42,98.43,-0.014999999999986358,,20
2017-08-31,98.44,98.44,98.425,98.44,0.009999999999990905,,20
2017-09-01,98.415,98.415,98.405,98.415,-0.024999999999991473,,20
2017-09-05,98.505,98.505,98.505,98.505,0.0899999999999892,,20
2017-09-06,98.455,98.455,98.455,98.455,-0.04999999999999716,,20
2017-09-07,98.49,98.5,98.49,98.49,0.03499999999999659,,20
2017-09-08,98.48,98.48,98.48,98.48,-0.009999999999990905,,20
2017-09-11,98.425,98.425,98.425,98.425,-0.05500000000000682,,20
2017-09-12,98.365,98.365,98.365,98.365,-0.060000000000002274,,20
2017-09-13,98.34,98.34,98.34,98.34,-0.024999999999991473,,20
2017-09-14,98.31,98.31,98.31,98.31,-0.030000000000001137,,20
2017-09-15,98.29,98.315,98.29,98.29,-0.01999999999999602,,20
2017-09-18,98.285,98.285,98.275,98.285,-0.005000000000009663,,20
2017-09-19,98.28,98.3,98.275,98.28,-0.0049999999999954525,,20
2017-09-20,98.225,98.295,98.22,98.225,-0.05500000000000682,,20
2017-09-21,98.205,98.23,98.195,98.205,-0.01999999999999602,,20
2017-09-22,98.215,98.23,98.215,98.215,0.010000000000005116,,20
2017-09-25,98.265,98.27,98.265,98.265,0.04999999999999716,,20
2017-09-26,98.245,98.245,98.235,98.245,-0.01999999999999602,,20
2017-09-27,98.195,98.195,98.185,98.195,-0.05000000000001137,,20
2017-09-28,98.205,98.215,98.18,98.205,0.010000000000005116,,20
2017-09-29,98.175,98.22,98.17,98.175,-0.030000000000001137,,20
