Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
10/02/2023,95.22,95.22,95.205,95.21,-0.07,-0.07%,2,766
09/29/2023,95.275,95.315,95.275,95.28,0.02,+0.02%,36,766
09/28/2023,95.2,95.28,95.17,95.26,0.075,+0.08%,23,751
09/27/2023,95.22,95.27,95.165,95.185,-0.055,-0.06%,74,754
09/26/2023,95.255,95.255,95.21,95.24,0.01,+0.01%,51,752
09/25/2023,95.25,95.26,95.22,95.23,0.005,+0.01%,318,748
09/22/2023,95.26,95.275,95.205,95.225,0.01,+0.01%,13,638
09/21/2023,95.165,95.235,95.14,95.215,-0.02,-0.02%,77,637
09/20/2023,95.25,95.34,95.15,95.235,-0.03,-0.03%,126,643
09/19/2023,95.335,95.355,95.265,95.265,-0.08,-0.08%,9,641
09/18/2023,95.325,95.36,95.32,95.345,-0.045,-0.05%,112,641
09/15/2023,95.375,95.39,95.36,95.39,-0.04,-0.04%,60,640
09/14/2023,95.46,95.5,95.405,95.43,-0.04,-0.04%,141,605
09/13/2023,95.365,95.5,95.355,95.47,0.015,+0.02%,46,550
09/12/2023,95.46,95.46,95.43,95.455,-0.03,-0.03%,87,547
09/11/2023,95.485,95.495,95.47,95.485,-0.005,-0.01%,7,488
09/08/2023,95.54,95.575,95.485,95.49,-0.05,-0.05%,38,489
09/07/2023,95.54,95.545,95.435,95.54,0.085,+0.09%,12,484
09/06/2023,95.445,95.56,95.445,95.455,-0.075,-0.08%,2,476
09/05/2023,95.585,95.585,95.53,95.53,-0.15,-0.16%,219,476
09/01/2023,95.78,95.805,95.645,95.68,-0.01,-0.01%,4,461
08/31/2023,95.69,95.69,95.62,95.69,0.03,+0.03%,0,460
08/30/2023,95.66,95.7,95.585,95.66,0.03,+0.03%,6,460
08/29/2023,95.61,95.645,95.46,95.63,0.145,+0.15%,12,464
08/28/2023,95.44,95.495,95.44,95.485,-0.005,-0.01%,1,455
08/25/2023,95.485,95.5,95.455,95.49,-0.06,-0.06%,4,455
08/24/2023,95.55,95.55,95.55,95.55,-0.08,-0.08%,55,457
08/23/2023,95.52,95.665,95.515,95.63,0.1,+0.10%,3,457
08/22/2023,95.53,95.53,95.515,95.53,-0.06,-0.06%,0,455
08/21/2023,95.59,95.59,95.57,95.59,-0.06,-0.06%,0,455
08/18/2023,95.65,95.69,95.65,95.65,0.025,+0.03%,0,455
08/17/2023,95.575,95.66,95.575,95.625,0.005,+0.01%,51,455
08/16/2023,95.66,95.71,95.6,95.62,-0.03,-0.03%,3,404
08/15/2023,95.65,95.705,95.56,95.65,0,0.00%,18,401
08/14/2023,95.74,95.74,95.635,95.65,-0.095,-0.10%,41,401
08/11/2023,95.75,95.755,95.73,95.745,-0.105,-0.11%,73,401
08/10/2023,95.97,95.97,95.81,95.85,-0.025,-0.03%,33,402
08/09/2023,95.905,95.945,95.875,95.875,-0.05,-0.05%,43,400
08/08/2023,95.92,95.965,95.91,95.925,0.005,+0.01%,72,358
08/07/2023,95.92,95.925,95.81,95.92,0.05,+0.05%,70,414
08/04/2023,95.75,95.9,95.685,95.87,0.12,+0.13%,205,408
08/03/2023,95.75,95.775,95.715,95.75,-0.02,-0.02%,64,205
08/02/2023,95.77,95.79,95.77,95.77,0.06,+0.06%,1,222
08/01/2023,95.71,95.765,95.705,95.71,-0.025,-0.03%,0,223
07/31/2023,95.735,95.765,95.7,95.735,0.03,+0.03%,14,223
07/28/2023,95.705,95.705,95.705,95.705,0.03,+0.03%,76,223
07/27/2023,95.865,95.865,95.675,95.675,-0.17,-0.18%,228,221
07/26/2023,95.855,95.855,95.845,95.845,0.07,+0.07%,2,122
07/25/2023,95.78,95.78,95.765,95.775,-0.055,-0.06%,21,120
07/24/2023,95.83,95.91,95.79,95.83,-0.05,-0.05%,6,102
07/21/2023,95.88,95.88,95.88,95.88,-0.035,-0.04%,1,102
07/20/2023,95.84,95.915,95.84,95.915,-0.105,-0.11%,6,103
