Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,96.09,96.155,96.075,96.12,0.035,+0.04%,14725,0
08/15/2024,96.245,96.275,96.08,96.085,-0.175,-0.18%,17279,29953
08/14/2024,96.295,96.39,96.225,96.26,-0.02,-0.02%,22926,31292
08/13/2024,96.17,96.295,96.165,96.28,0.09,+0.09%,14862,30852
08/12/2024,96.15,96.2,96.125,96.19,0.03,+0.03%,11620,31845
08/09/2024,96.185,96.205,96.15,96.16,-0.015,-0.02%,18451,30428
08/08/2024,96.275,96.325,96.125,96.175,-0.06,-0.06%,11733,27587
08/07/2024,96.22,96.27,96.155,96.235,0.02,+0.02%,8152,29906
08/06/2024,96.31,96.345,96.165,96.215,-0.145,-0.15%,13121,31779
08/05/2024,96.365,96.66,96.275,96.36,-0.015,-0.02%,17769,32742
08/02/2024,95.995,96.375,95.985,96.375,0.4,+0.42%,24213,34198
08/01/2024,95.84,96.015,95.805,95.975,0.195,+0.20%,23612,32611
07/31/2024,95.755,95.85,95.72,95.78,0.03,+0.03%,13288,24706
07/30/2024,95.715,95.765,95.705,95.75,0.02,+0.02%,6655,23441
07/29/2024,95.74,95.765,95.715,95.73,0,0.00%,5073,23215
07/26/2024,95.71,95.75,95.68,95.73,0.03,+0.03%,6940,22932
07/25/2024,95.71,95.8,95.695,95.7,-0.015,-0.02%,12126,23647
07/24/2024,95.67,95.745,95.665,95.715,0.04,+0.04%,11747,22723
07/23/2024,95.65,95.685,95.64,95.675,0.03,+0.03%,6207,23107
07/22/2024,95.67,95.67,95.63,95.645,-0.02,-0.02%,4526,24101
07/19/2024,95.685,95.71,95.655,95.665,-0.035,-0.04%,3947,23284
07/18/2024,95.715,95.725,95.685,95.7,-0.015,-0.02%,5279,23289
07/17/2024,95.74,95.74,95.685,95.715,-0.005,-0.01%,7060,22415
07/16/2024,95.73,95.77,95.69,95.72,0,0.00%,10977,21803
07/15/2024,95.695,95.77,95.67,95.72,0.035,+0.04%,9549,20891
07/12/2024,95.655,95.7,95.62,95.685,0.025,+0.03%,6102,20678
07/11/2024,95.52,95.67,95.5,95.66,0.145,+0.15%,14053,20906
07/10/2024,95.51,95.53,95.5,95.515,0.01,+0.01%,4362,19189
07/09/2024,95.51,95.535,95.49,95.505,-0.01,-0.01%,5199,18622
07/08/2024,95.525,95.53,95.495,95.515,-0.02,-0.02%,4169,18609
07/05/2024,95.445,95.54,95.41,95.535,0.085,+0.09%,11904,18775
07/03/2024,95.415,95.47,95.385,95.45,0.03,+0.03%,8908,17801
07/02/2024,95.405,95.445,95.405,95.42,0.02,+0.02%,4874,17883
07/01/2024,95.395,95.425,95.375,95.4,-0.025,-0.03%,8334,17983
06/28/2024,95.425,95.465,95.385,95.425,0.01,+0.01%,7949,16710
06/27/2024,95.395,95.44,95.385,95.415,0.02,+0.02%,4314,14948
06/26/2024,95.45,95.45,95.395,95.395,-0.06,-0.06%,3004,14706
06/25/2024,95.47,95.47,95.44,95.455,-0.005,-0.01%,4298,14773
06/24/2024,95.455,95.475,95.445,95.46,0.005,+0.01%,1933,13975
06/21/2024,95.445,95.475,95.435,95.455,0.005,+0.01%,2880,13548
06/20/2024,95.47,95.48,95.435,95.45,-0.025,-0.03%,4772,13655
06/18/2024,95.41,95.485,95.4,95.475,0.05,+0.05%,6806,13448
06/17/2024,95.475,95.48,95.41,95.425,-0.075,-0.08%,4907,13435
