"Symbol: ZQH20",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2017-03-31,97.99,97.99,97.99,97.99,0,,
2017-04-03,98.035,98.045,98.035,98.035,0.045000000000001705,,
2017-04-04,98.05,98.07,98.05,98.05,0.015000000000000568,,
2017-04-05,98.09,98.1,98.045,98.09,0.04000000000000625,,
2017-04-06,98.085,98.1,98.065,98.085,-0.005000000000009663,,
2017-04-07,98.04,98.115,98.035,98.04,-0.044999999999987494,,
2017-04-10,98.065,98.08,98.035,98.065,0.024999999999991473,,
2017-04-11,98.145,98.145,98.145,98.145,0.0799999999999983,,
2017-04-12,98.15,98.195,98.15,98.15,0.005000000000009663,,
2017-04-13,98.22,98.225,98.22,98.22,0.06999999999999318,,
2017-04-17,98.205,98.24,98.2,98.205,-0.015000000000000568,,
2017-04-18,98.285,98.29,98.285,98.285,0.0799999999999983,,
2017-04-19,98.26,98.26,98.235,98.26,-0.024999999999991473,,
2017-04-20,98.2,98.2,98.195,98.2,-0.060000000000002274,,
2017-04-21,98.215,98.225,98.215,98.215,0.015000000000000568,,
2017-04-24,98.17,98.17,98.085,98.17,-0.045000000000001705,,
2017-04-25,98.095,98.095,98.085,98.095,-0.07500000000000284,,
2017-04-26,98.12,98.12,98.085,98.12,0.025000000000005684,,
2017-04-27,98.15,98.155,98.15,98.15,0.030000000000001137,,
2017-04-28,98.15,98.15,98.12,98.15,0,,
2017-05-01,98.125,98.125,98.11,98.125,-0.025000000000005684,,
2017-05-02,98.155,98.155,98.105,98.155,0.030000000000001137,,
2017-05-03,98.13,98.13,98.125,98.13,-0.025000000000005684,,
2017-05-04,98.095,98.095,98.075,98.095,-0.03499999999999659,,
2017-05-05,98.1,98.105,98.08,98.1,0.0049999999999954525,,
2017-05-08,98.075,98.11,98.06,98.075,-0.024999999999991473,,
2017-05-09,98.045,98.045,98.035,98.045,-0.030000000000001137,,
2017-05-10,98.03,98.08,98.03,98.03,-0.015000000000000568,,
2017-05-11,98.05,98.05,98.05,98.05,0.01999999999999602,,
2017-05-12,98.13,98.13,98.13,98.13,0.0799999999999983,,
2017-05-15,98.15,98.15,98.15,98.15,0.020000000000010232,,
2017-05-16,98.16,98.175,98.14,98.16,0.009999999999990905,,
2017-05-17,98.28,98.28,98.28,98.28,0.12000000000000455,,
