Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,96.305,96.385,96.295,96.34,0.035,+0.04%,2429,0
08/15/2024,96.49,96.51,96.295,96.305,-0.2,-0.21%,3687,14582
08/14/2024,96.535,96.625,96.46,96.505,-0.01,-0.01%,6814,14907
08/13/2024,96.405,96.535,96.395,96.515,0.1,+0.10%,1576,17951
08/12/2024,96.355,96.425,96.345,96.415,0.035,+0.04%,2726,18354
08/09/2024,96.43,96.45,96.37,96.38,-0.045,-0.05%,44173,18588
08/08/2024,96.53,96.57,96.37,96.425,-0.055,-0.06%,2474,8452
08/07/2024,96.48,96.52,96.41,96.48,0.01,+0.01%,6303,8745
08/06/2024,96.59,96.595,96.415,96.47,-0.14,-0.14%,2658,8782
08/05/2024,96.625,96.905,96.53,96.61,-0.04,-0.04%,3562,8180
08/02/2024,96.27,96.65,96.255,96.65,0.395,+0.41%,4253,8556
08/01/2024,96.11,96.285,96.07,96.255,0.22,+0.23%,1968,8859
07/31/2024,96,96.12,95.97,96.035,0.035,+0.04%,1903,8917
07/30/2024,95.955,96.01,95.945,96,0.03,+0.03%,1748,9026
07/29/2024,95.98,96.005,95.955,95.97,0,0.00%,1600,8740
07/26/2024,95.945,95.99,95.905,95.97,0.04,+0.04%,1567,8369
07/25/2024,95.945,96.05,95.925,95.93,-0.025,-0.03%,1602,8168
07/24/2024,95.9,95.995,95.895,95.955,0.045,+0.05%,1816,8432
07/23/2024,95.88,95.925,95.87,95.91,0.035,+0.04%,240,8543
07/22/2024,95.9,95.9,95.86,95.875,-0.02,-0.02%,409,8611
07/19/2024,95.93,95.95,95.885,95.895,-0.045,-0.05%,551,8724
07/18/2024,95.96,95.97,95.925,95.94,-0.025,-0.03%,569,8764
07/17/2024,95.985,95.985,95.925,95.965,0.005,+0.01%,309,8662
07/16/2024,95.97,96.015,95.925,95.96,0,0.00%,1007,8613
07/15/2024,95.91,96.015,95.91,95.96,0.03,+0.03%,1081,8777
07/12/2024,95.885,95.94,95.855,95.93,0.04,+0.04%,567,8554
07/11/2024,95.745,95.91,95.72,95.89,0.16,+0.17%,1774,8520
07/10/2024,95.725,95.75,95.71,95.73,0.01,+0.01%,1303,8464
07/09/2024,95.725,95.75,95.7,95.72,-0.01,-0.01%,1374,8272
07/08/2024,95.735,95.735,95.71,95.73,-0.025,-0.03%,1043,7800
07/05/2024,95.63,95.755,95.6,95.755,0.115,+0.12%,1145,7973
07/03/2024,95.595,95.665,95.56,95.64,0.04,+0.04%,2537,7792
07/02/2024,95.585,95.635,95.58,95.6,0.025,+0.03%,1323,6754
07/01/2024,95.59,95.62,95.555,95.575,-0.05,-0.05%,1458,6148
06/28/2024,95.62,95.67,95.585,95.625,0.015,+0.02%,2042,6265
06/27/2024,95.58,95.635,95.57,95.61,0.02,+0.02%,226,5501
06/26/2024,95.63,95.63,95.585,95.59,-0.07,-0.07%,221,5511
06/25/2024,95.67,95.675,95.64,95.66,-0.005,-0.01%,431,5484
06/24/2024,95.66,95.68,95.655,95.665,0,0.00%,199,5458
06/21/2024,95.65,95.69,95.64,95.665,0.005,+0.01%,396,5457
06/20/2024,95.685,95.69,95.64,95.66,-0.03,-0.03%,693,5268
06/18/2024,95.615,95.705,95.6,95.69,0.065,+0.07%,841,5171
06/17/2024,95.67,95.685,95.61,95.625,-0.085,-0.09%,871,5138
06/14/2024,95.71,95.755,95.67,95.71,0.015,+0.02%,993,5114
06/13/2024,95.605,95.71,95.575,95.695,0.09,+0.09%,1149,5022
06/12/2024,95.485,95.69,95.48,95.605,0.115,+0.12%,1970,4476
06/11/2024,95.44,95.505,95.44,95.49,0.05,+0.05%,1417,4111
06/10/2024,95.425,95.46,95.42,95.44,0,0.00%,376,3806
06/07/2024,95.615,95.62,95.43,95.44,-0.18,-0.19%,605,3809
06/06/2024,95.6,95.625,95.575,95.62,0.02,+0.02%,1053,3790
06/05/2024,95.545,95.61,95.52,95.6,0.055,+0.06%,566,3299
06/04/2024,95.47,95.565,95.47,95.545,0.07,+0.07%,681,3170
06/03/2024,95.4,95.49,95.385,95.475,0.095,+0.10%,663,2891
05/31/2024,95.35,95.415,95.315,95.38,0.035,+0.04%,394,2846
