Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,96.65,96.67,96.59,96.635,0.035,+0.04%,55,0
08/15/2024,96.605,96.645,96.6,96.6,-0.205,-0.21%,417,854
08/14/2024,96.78,96.81,96.78,96.805,-0.01,-0.01%,22,966
08/13/2024,96.805,96.815,96.7,96.815,0.105,+0.11%,122,952
08/12/2024,96.64,96.71,96.64,96.71,0.04,+0.04%,44,943
08/09/2024,96.685,96.69,96.67,96.67,-0.01,-0.01%,151,944
08/08/2024,96.8,96.805,96.645,96.68,-0.045,-0.05%,187,1012
08/07/2024,96.675,96.75,96.675,96.725,0,0.00%,232,1044
08/06/2024,96.71,96.795,96.685,96.725,-0.13,-0.13%,94,906
08/05/2024,96.855,97.07,96.855,96.855,-0.05,-0.05%,159,954
08/02/2024,96.91,96.91,96.77,96.905,0.35,+0.36%,776,994
08/01/2024,96.445,96.565,96.445,96.555,0.23,+0.24%,224,998
07/31/2024,96.325,96.42,96.3,96.325,0.035,+0.04%,150,860
07/30/2024,96.255,96.305,96.245,96.29,0.03,+0.03%,91,747
07/29/2024,96.29,96.29,96.26,96.26,0,0.00%,90,683
07/26/2024,96.255,96.26,96.255,96.26,0.04,+0.04%,131,636
07/25/2024,96.205,96.34,96.205,96.22,-0.025,-0.03%,3,529
07/24/2024,96.245,96.245,96.195,96.245,0.045,+0.05%,0,529
07/23/2024,96.2,96.2,96.2,96.2,0.035,+0.04%,0,529
07/22/2024,96.165,96.165,96.165,96.165,-0.02,-0.02%,0,529
07/19/2024,96.2,96.2,96.185,96.185,-0.05,-0.05%,33,529
07/18/2024,96.26,96.26,96.235,96.235,-0.025,-0.03%,13,499
07/17/2024,96.245,96.28,96.235,96.26,0.01,+0.01%,7,488
07/16/2024,96.305,96.305,96.25,96.25,-0.02,-0.02%,111,488
07/15/2024,96.245,96.29,96.235,96.27,0.03,+0.03%,249,492
07/12/2024,96.23,96.24,96.165,96.24,0.055,+0.06%,128,422
07/11/2024,96.015,96.21,96.015,96.185,0.165,+0.17%,108,300
07/10/2024,96.035,96.035,96.02,96.02,0.015,+0.02%,4,298
07/09/2024,96.015,96.015,96.005,96.005,-0.01,-0.01%,23,298
07/08/2024,96.015,96.015,96.005,96.015,-0.01,-0.01%,0,278
07/05/2024,95.975,96.025,95.895,96.025,0.12,+0.13%,17,278
07/03/2024,95.86,95.905,95.83,95.905,0.05,+0.05%,13,272
07/02/2024,95.875,95.875,95.855,95.855,0.03,+0.03%,3,276
07/01/2024,95.835,95.835,95.815,95.825,-0.065,-0.07%,149,276
06/28/2024,95.86,95.89,95.86,95.89,0.01,+0.01%,19,233
06/27/2024,95.88,95.905,95.84,95.88,0.02,+0.02%,21,229
06/26/2024,95.875,95.875,95.86,95.86,-0.07,-0.07%,30,226
06/25/2024,95.93,95.945,95.925,95.93,-0.01,-0.01%,34,203
06/24/2024,95.94,95.95,95.935,95.94,0,0.00%,7,203
06/21/2024,95.94,95.96,95.925,95.94,0.005,+0.01%,28,204
06/20/2024,95.935,95.935,95.935,95.935,-0.035,-0.04%,10,181
06/18/2024,95.965,95.975,95.965,95.97,0.08,+0.08%,34,176
06/17/2024,95.89,95.89,95.89,95.89,-0.09,-0.09%,45,186
06/14/2024,95.98,95.985,95.98,95.98,0.02,+0.02%,12,141
06/13/2024,95.96,95.96,95.96,95.96,0.095,+0.10%,4,137
06/12/2024,95.865,95.865,95.865,95.865,0.125,+0.13%,6,137
06/11/2024,95.74,95.74,95.74,95.74,0.05,+0.05%,0,136
06/10/2024,95.69,95.69,95.69,95.69,0,0.00%,0,136
06/07/2024,95.69,95.69,95.69,95.69,-0.185,-0.19%,0,136
06/06/2024,95.875,95.875,95.875,95.875,0.02,+0.02%,12,136
06/05/2024,95.855,95.865,95.855,95.855,0.07,+0.07%,8,132
06/04/2024,95.785,95.785,95.785,95.785,0.075,+0.08%,0,128
06/03/2024,95.71,95.71,95.71,95.71,0.105,+0.11%,0,128
05/31/2024,95.605,95.605,95.605,95.605,0.05,+0.05%,0,128
05/30/2024,95.555,95.555,95.555,95.555,0.05,+0.05%,0,128
05/29/2024,95.505,95.505,95.505,95.505,-0.03,-0.03%,6,128
05/28/2024,95.535,95.535,95.535,95.535,-0.03,-0.03%,0,122
05/24/2024,95.565,95.565,95.565,95.565,-0.035,-0.04%,0,122
05/23/2024,95.6,95.6,95.6,95.6,-0.08,-0.08%,0,122
05/22/2024,95.68,95.68,95.68,95.68,-0.065,-0.07%,0,122
05/21/2024,95.745,95.745,95.745,95.745,0.02,+0.02%,0,122
05/20/2024,95.725,95.725,95.725,95.725,-0.03,-0.03%,0,122
05/17/2024,95.755,95.755,95.755,95.755,-0.035,-0.04%,0,122
05/16/2024,95.79,95.79,95.79,95.79,-0.075,-0.08%,0,122
05/15/2024,95.865,95.865,95.865,95.865,0.125,+0.13%,0,122
05/14/2024,95.74,95.74,95.74,95.74,0.03,+0.03%,0,122
05/13/2024,95.71,95.71,95.71,95.71,0.005,+0.01%,0,122
05/10/2024,95.705,95.705,95.705,95.705,-0.065,-0.07%,0,122
05/09/2024,95.77,95.77,95.77,95.77,0.03,+0.03%,0,122
05/08/2024,95.74,95.74,95.74,95.74,-0.02,-0.02%,0,122
05/07/2024,95.76,95.76,95.76,95.76,0,0.00%,0,122
05/06/2024,95.76,95.76,95.76,95.76,-0.015,-0.02%,0,122
05/03/2024,95.775,95.775,95.775,95.775,0.125,+0.13%,0,122
05/02/2024,95.65,95.65,95.65,95.65,0.075,+0.08%,1,122
05/01/2024,95.575,95.575,95.575,95.575,0.14,+0.15%,0,122
04/30/2024,95.435,95.435,95.435,95.435,-0.085,-0.09%,321,122
04/29/2024,95.52,95.52,95.52,95.52,0.025,+0.03%,0,3
