Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
02/14/2024,96.035,96.035,96.035,96.035,0.085,+0.09%,399,744
02/13/2024,95.95,95.95,95.95,95.95,-0.255,-0.27%,8,789
02/12/2024,96.205,96.205,96.205,96.205,0.015,+0.02%,1,789
02/09/2024,96.19,96.19,96.19,96.19,-0.065,-0.07%,9,789
02/08/2024,96.255,96.255,96.255,96.255,-0.045,-0.05%,128,788
02/07/2024,96.3,96.3,96.3,96.3,-0.01,-0.01%,4,801
02/06/2024,96.31,96.31,96.31,96.31,0.075,+0.08%,0,805
02/05/2024,96.235,96.235,96.235,96.235,-0.12,-0.12%,12,805
02/02/2024,96.355,96.355,96.355,96.355,-0.22,-0.23%,230,807
02/01/2024,96.58,96.58,96.57,96.575,0.025,+0.03%,17,782
01/31/2024,96.545,96.55,96.545,96.55,0.165,+0.17%,121,765
01/30/2024,96.385,96.46,96.385,96.385,-0.06,-0.06%,0,757
01/29/2024,96.445,96.445,96.445,96.445,0.04,+0.04%,34,757
01/26/2024,96.405,96.5,96.405,96.405,-0.07,-0.07%,12,753
01/25/2024,96.475,96.475,96.385,96.475,0.065,+0.07%,6,741
01/24/2024,96.41,96.46,96.41,96.41,-0.015,-0.02%,168,739
01/23/2024,96.425,96.425,96.405,96.425,-0.005,-0.01%,0,571
01/22/2024,96.43,96.43,96.43,96.43,0.045,+0.05%,0,571
01/19/2024,96.385,96.385,96.385,96.385,-0.09,-0.09%,1,571
01/18/2024,96.475,96.505,96.475,96.475,0.005,+0.01%,0,572
01/17/2024,96.49,96.49,96.47,96.47,-0.175,-0.18%,23,572
01/16/2024,96.63,96.645,96.63,96.645,-0.105,-0.11%,6,574
01/12/2024,96.68,96.76,96.575,96.75,0.14,+0.14%,5,569
01/11/2024,96.61,96.61,96.61,96.61,0.13,+0.13%,0,564
01/10/2024,96.48,96.5,96.48,96.48,0.01,+0.01%,0,564
01/09/2024,96.47,96.47,96.45,96.47,-0.025,-0.03%,0,564
01/08/2024,96.495,96.495,96.445,96.495,0.02,+0.02%,1,564
01/05/2024,96.465,96.475,96.465,96.475,-0.02,-0.02%,3,563
01/04/2024,96.495,96.495,96.49,96.495,-0.09,-0.09%,0,564
01/03/2024,96.585,96.585,96.585,96.585,-0.01,-0.01%,1,564
01/02/2024,96.595,96.595,96.595,96.595,-0.1,-0.10%,0,564
12/29/2023,96.695,96.695,96.695,96.695,0.04,+0.04%,104,564
12/28/2023,96.655,96.655,96.655,96.655,-0.05,-0.05%,0,564
12/27/2023,96.705,96.705,96.705,96.705,0.065,+0.07%,0,564
12/26/2023,96.64,96.64,96.64,96.64,-0.025,-0.03%,189,564
12/22/2023,96.665,96.665,96.665,96.665,0.005,+0.01%,0,375
12/21/2023,96.66,96.66,96.66,96.66,0.03,+0.03%,0,375
12/20/2023,96.63,96.63,96.63,96.63,0.09,+0.09%,0,375
12/19/2023,96.54,96.54,96.54,96.54,0.015,+0.02%,0,375
12/18/2023,96.525,96.525,96.525,96.525,0.01,+0.01%,0,375
12/15/2023,96.515,96.515,96.515,96.515,-0.06,-0.06%,5,375
12/14/2023,96.575,96.575,96.575,96.575,0.1,+0.10%,19,380
12/13/2023,96.475,96.475,96.475,96.475,0.29,+0.30%,21,397
12/12/2023,96.2,96.2,96.185,96.185,-0.015,-0.02%,21,415
12/11/2023,96.06,96.2,96.06,96.2,0.01,+0.01%,7,432
12/08/2023,96.19,96.19,96.19,96.19,-0.185,-0.19%,17,435
12/07/2023,96.375,96.375,96.375,96.375,0.05,+0.05%,0,452
12/06/2023,96.325,96.325,96.325,96.325,-0.055,-0.06%,0,452
12/05/2023,96.38,96.38,96.38,96.38,0.075,+0.08%,0,452
12/04/2023,96.305,96.305,96.305,96.305,-0.09,-0.09%,0,452
12/01/2023,96.395,96.395,96.395,96.395,0.185,+0.19%,240,452
11/30/2023,96.21,96.21,96.21,96.21,-0.075,-0.08%,0,307
11/29/2023,96.285,96.285,96.285,96.285,0.155,+0.16%,38,307
11/28/2023,96.13,96.13,96.13,96.13,0.165,+0.17%,54,307
11/27/2023,95.965,95.965,95.965,95.965,0.055,+0.06%,7,317
11/24/2023,95.91,95.91,95.91,95.91,-0.05,-0.05%,40,310
11/22/2023,95.96,95.96,95.96,95.96,-0.035,-0.04%,50,301
11/21/2023,95.995,95.995,95.995,95.995,0.045,+0.05%,0,251
11/20/2023,95.95,95.95,95.95,95.95,-0.01,-0.01%,50,251
11/17/2023,95.96,95.96,95.96,95.96,-0.06,-0.06%,8,201
11/16/2023,96.02,96.02,96.02,96.02,0.09,+0.09%,1,201
11/15/2023,95.93,95.93,95.93,95.93,-0.12,-0.12%,0,201
11/14/2023,96.05,96.05,96.05,96.05,0.26,+0.27%,0,201
11/13/2023,95.79,95.79,95.79,95.79,0.035,+0.04%,5,201
11/10/2023,95.755,95.755,95.755,95.755,-0.045,-0.05%,5,201
11/09/2023,95.8,95.8,95.8,95.8,-0.085,-0.09%,0,201
11/08/2023,95.885,95.885,95.885,95.885,-0.025,-0.03%,0,201
11/07/2023,95.91,95.91,95.91,95.91,0.05,+0.05%,0,201
11/06/2023,95.86,95.86,95.86,95.86,-0.135,-0.14%,0,201
11/03/2023,95.995,95.995,95.995,95.995,0.185,+0.19%,125,201
11/02/2023,95.81,95.81,95.81,95.81,0.01,+0.01%,58,201
11/01/2023,95.8,95.8,95.8,95.8,0.165,+0.17%,153,183
10/31/2023,95.635,95.635,95.635,95.635,-0.05,-0.05%,0,269
10/30/2023,95.685,95.685,95.685,95.685,-0.025,-0.03%,1,269
10/27/2023,95.71,95.71,95.71,95.71,0.04,+0.04%,0,269
10/26/2023,95.67,95.67,95.67,95.67,0.08,+0.08%,0,269
10/25/2023,95.59,95.59,95.59,95.59,-0.06,-0.06%,0,269
10/24/2023,95.65,95.65,95.65,95.65,-0.04,-0.04%,0,269
10/23/2023,95.69,95.69,95.69,95.69,0.05,+0.05%,0,269
10/20/2023,95.64,95.64,95.64,95.64,0.11,+0.12%,0,269
10/19/2023,95.53,95.53,95.53,95.53,0.02,+0.02%,3,269
10/18/2023,95.51,95.51,95.51,95.51,-0.045,-0.05%,271,268
10/17/2023,95.555,95.555,95.555,95.555,-0.14,-0.15%,0,2
10/16/2023,95.695,95.695,95.695,95.695,-0.045,-0.05%,0,2
10/13/2023,95.74,95.74,95.74,95.74,0.005,+0.01%,0,2
10/12/2023,95.735,95.735,95.735,95.735,-0.07,-0.07%,1,2
10/11/2023,95.805,95.805,95.805,95.805,-0.045,-0.05%,0,1
10/10/2023,95.85,95.85,95.85,95.85,-0.04,-0.04%,0,1
10/09/2023,95.89,95.89,95.89,95.89,0.175,+0.18%,0,1
10/06/2023,95.715,95.715,95.715,95.715,-0.065,-0.07%,0,1
10/05/2023,95.78,95.78,95.78,95.78,0.03,+0.03%,0,1
10/04/2023,95.75,95.75,95.75,95.75,0.11,+0.12%,0,1
10/03/2023,95.64,95.64,95.64,95.64,-0.035,-0.04%,0,1
10/02/2023,95.675,95.675,95.675,95.675,-0.07,-0.07%,0,1
09/29/2023,95.745,95.745,95.745,95.745,0.025,+0.03%,0,1
09/28/2023,95.72,95.72,95.72,95.72,0.075,+0.08%,0,1
09/27/2023,95.645,95.645,95.645,95.645,-0.055,-0.06%,0,1
09/26/2023,95.7,95.7,95.7,95.7,0.01,+0.01%,0,1
09/25/2023,95.69,95.69,95.69,95.69,0.005,+0.01%,0,1
09/22/2023,95.685,95.685,95.685,95.685,0.01,+0.01%,0,1
09/21/2023,95.675,95.675,95.675,95.675,-0.045,-0.05%,0,1
09/20/2023,95.72,95.72,95.72,95.72,0.005,+0.01%,0,1
09/19/2023,95.715,95.715,95.715,95.715,-0.07,-0.07%,0,1
09/18/2023,95.785,95.785,95.785,95.785,-0.045,-0.05%,0,1
09/15/2023,95.83,95.83,95.83,95.83,-0.04,-0.04%,0,1
09/14/2023,95.87,95.87,95.87,95.87,-0.04,-0.04%,0,1
09/13/2023,95.91,95.91,95.91,95.91,0.015,+0.02%,0,1
09/12/2023,95.895,95.895,95.895,95.895,-0.03,-0.03%,0,1
09/11/2023,95.925,95.925,95.925,95.925,-0.005,-0.01%,0,1
09/08/2023,95.93,95.93,95.93,95.93,-0.05,-0.05%,0,1
09/07/2023,95.98,95.98,95.98,95.98,0.09,+0.09%,0,1
09/06/2023,95.89,95.89,95.89,95.89,-0.075,-0.08%,0,1
09/05/2023,95.965,95.965,95.965,95.965,-0.1,-0.10%,0,1
09/01/2023,96.065,96.065,96.065,96.065,-0.015,-0.02%,0,1
08/31/2023,96.08,96.08,96.08,96.08,0.025,+0.03%,0,1
08/30/2023,96.055,96.055,96.055,96.055,0.03,+0.03%,0,1
08/29/2023,96.025,96.025,96.025,96.025,0.145,+0.15%,0,1
08/28/2023,95.88,95.88,95.88,95.88,0.005,+0.01%,0,1
08/25/2023,95.875,95.875,95.875,95.875,-0.045,-0.05%,0,1
08/24/2023,95.92,95.92,95.92,95.92,-0.07,-0.07%,0,1
08/23/2023,95.99,95.99,95.99,95.99,0.11,+0.11%,0,1
08/22/2023,95.88,95.88,95.88,95.88,-0.06,-0.06%,0,1
08/21/2023,95.94,95.94,95.94,95.94,-0.06,-0.06%,0,1
08/18/2023,96,96,96,96,0.025,+0.03%,0,1
08/17/2023,95.975,95.975,95.975,95.975,-0.01,-0.01%,0,1
08/16/2023,95.985,95.985,95.985,95.985,-0.03,-0.03%,0,1
08/15/2023,96.015,96.015,96.015,96.015,0,0.00%,0,1
08/14/2023,96.015,96.015,96.015,96.015,-0.095,-0.10%,0,1
08/11/2023,96.11,96.11,96.11,96.11,-0.115,-0.12%,0,1
08/10/2023,96.225,96.225,96.225,96.225,0.015,+0.02%,0,1
08/09/2023,96.21,96.21,96.21,96.21,-0.05,-0.05%,0,1
08/08/2023,96.26,96.26,96.26,96.26,0.01,+0.01%,0,1
08/07/2023,96.27,96.27,96.25,96.25,0.055,+0.06%,2,1
08/04/2023,96.195,96.195,96.195,96.195,0.12,+0.12%,0,0
08/03/2023,96.075,96.075,96.075,96.075,-0.02,-0.02%,0,0
08/02/2023,96.095,96.095,96.095,96.095,0.055,+0.06%,0,0
08/01/2023,96.04,96.04,96.04,96.04,-0.025,-0.03%,0,0
07/31/2023,96.065,96.065,96.065,96.065,0.035,+0.04%,0,0
07/28/2023,96.03,96.03,96.03,96.03,0.03,+0.03%,0,0
07/27/2023,96,96,96,96,-0.175,-0.18%,0,0
07/26/2023,96.175,96.175,96.175,96.175,0.085,+0.09%,0,0
07/25/2023,96.09,96.09,96.09,96.09,-0.055,-0.06%,0,0
07/24/2023,96.145,96.145,96.145,96.145,-0.05,-0.05%,0,0
07/21/2023,96.195,96.195,96.195,96.195,-0.025,-0.03%,0,0
07/20/2023,96.22,96.22,96.22,96.22,-0.105,-0.11%,0,0
