Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/16/2024,96.56,96.625,96.53,96.58,0.035,+0.04%,266,0
08/15/2024,96.735,96.74,96.535,96.545,-0.205,-0.21%,90,959
08/14/2024,96.76,96.785,96.705,96.75,-0.01,-0.01%,51,949
08/13/2024,96.645,96.775,96.635,96.76,0.105,+0.11%,97,943
08/12/2024,96.595,96.665,96.58,96.655,0.04,+0.04%,82,966
08/09/2024,96.635,96.66,96.605,96.615,-0.01,-0.01%,89,971
08/08/2024,96.7,96.76,96.575,96.625,-0.05,-0.05%,590,1031
08/07/2024,96.625,96.705,96.62,96.675,0,0.00%,233,1108
08/06/2024,96.67,96.755,96.62,96.675,-0.13,-0.13%,440,1150
08/05/2024,96.81,97.05,96.735,96.805,-0.05,-0.05%,606,1125
08/02/2024,96.47,96.855,96.47,96.855,0.365,+0.38%,351,1101
08/01/2024,96.345,96.505,96.31,96.49,0.23,+0.24%,38,1123
07/31/2024,96.22,96.36,96.195,96.26,0.035,+0.04%,351,1119
07/30/2024,96.21,96.225,96.175,96.225,0.03,+0.03%,46,893
07/29/2024,96.195,96.22,96.195,96.195,0,0.00%,101,859
07/26/2024,96.195,96.2,96.195,96.195,0.04,+0.04%,218,758
07/25/2024,96.225,96.27,96.155,96.155,-0.025,-0.03%,31,593
07/24/2024,96.19,96.19,96.125,96.18,0.045,+0.05%,11,583
07/23/2024,96.135,96.135,96.135,96.135,0.035,+0.04%,94,577
07/22/2024,96.08,96.1,96.08,96.1,-0.02,-0.02%,25,483
07/19/2024,96.13,96.13,96.12,96.12,-0.05,-0.05%,18,474
07/18/2024,96.185,96.205,96.17,96.17,-0.025,-0.03%,3,462
07/17/2024,96.155,96.21,96.155,96.195,0.01,+0.01%,5,459
07/16/2024,96.165,96.23,96.165,96.185,-0.01,-0.01%,37,457
07/15/2024,96.21,96.21,96.16,96.195,0.03,+0.03%,362,483
07/12/2024,96.155,96.165,96.095,96.165,0.05,+0.05%,26,624
07/11/2024,96.135,96.14,96.115,96.115,0.165,+0.17%,187,620
07/10/2024,95.935,95.955,95.935,95.95,0.01,+0.01%,1,554
07/09/2024,95.935,95.94,95.93,95.94,-0.01,-0.01%,47,554
07/08/2024,95.94,95.95,95.93,95.95,-0.01,-0.01%,1,507
07/05/2024,95.92,95.96,95.825,95.96,0.12,+0.13%,21,507
07/03/2024,95.795,95.86,95.765,95.84,0.05,+0.05%,6,501
07/02/2024,95.79,95.79,95.79,95.79,0.03,+0.03%,15,499
