Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
02/28/2024,95.645,95.7,95.645,95.695,0.07,+0.07%,47,722
02/27/2024,95.655,95.69,95.625,95.625,-0.015,-0.02%,47,724
02/26/2024,95.715,95.715,95.64,95.64,-0.05,-0.05%,82,719
02/23/2024,95.645,95.72,95.64,95.69,0.015,+0.02%,33,713
02/22/2024,95.73,95.73,95.655,95.675,-0.08,-0.08%,14,709
02/21/2024,95.82,95.825,95.735,95.755,-0.04,-0.04%,187,710
02/20/2024,95.815,95.845,95.76,95.795,0.03,+0.03%,38,699
02/16/2024,95.78,95.78,95.67,95.765,-0.085,-0.09%,18,682
02/15/2024,95.865,95.93,95.825,95.85,0.015,+0.02%,45,684
02/14/2024,95.775,95.865,95.75,95.835,0.08,+0.08%,159,700
02/13/2024,96,96.02,95.735,95.755,-0.25,-0.26%,23,594
02/12/2024,96.01,96.025,95.99,96.005,0.01,+0.01%,20,596
02/09/2024,96.025,96.055,95.98,95.995,-0.055,-0.06%,81,596
02/08/2024,96.09,96.09,96.035,96.05,-0.045,-0.05%,79,603
02/07/2024,96.095,96.145,96.08,96.095,-0.01,-0.01%,47,596
02/06/2024,96.06,96.135,96.02,96.105,0.075,+0.08%,42,583
02/05/2024,96.06,96.07,96.02,96.03,-0.115,-0.12%,19,575
02/02/2024,96.325,96.325,96.105,96.145,-0.23,-0.24%,44,573
02/01/2024,96.39,96.46,96.34,96.375,0.02,+0.02%,18,559
01/31/2024,96.22,96.37,96.215,96.355,0.165,+0.17%,145,561
01/30/2024,96.19,96.265,96.19,96.19,-0.06,-0.06%,0,566
01/29/2024,96.25,96.25,96.25,96.25,0.04,+0.04%,0,566
01/26/2024,96.21,96.31,96.21,96.21,-0.07,-0.07%,0,566
01/25/2024,96.28,96.285,96.18,96.28,0.065,+0.07%,133,566
01/24/2024,96.215,96.285,96.205,96.215,-0.015,-0.02%,0,433
01/23/2024,96.23,96.235,96.205,96.23,0,0.00%,0,433
01/22/2024,96.23,96.245,96.23,96.23,0.04,+0.04%,0,433
01/19/2024,96.225,96.285,96.19,96.19,-0.09,-0.09%,2,433
01/18/2024,96.28,96.315,96.28,96.28,0.005,+0.01%,17,433
01/17/2024,96.37,96.465,96.275,96.275,-0.175,-0.18%,72,424
01/16/2024,96.485,96.485,96.42,96.45,-0.11,-0.11%,5,371
01/12/2024,96.515,96.56,96.38,96.56,0.145,+0.15%,3,370
01/11/2024,96.365,96.415,96.27,96.415,0.135,+0.14%,8,367
01/10/2024,96.3,96.3,96.275,96.28,0.015,+0.02%,16,364
01/09/2024,96.26,96.28,96.245,96.265,-0.02,-0.02%,3,348
01/08/2024,96.23,96.315,96.23,96.285,0.02,+0.02%,5,346
01/05/2024,96.17,96.28,96.17,96.265,-0.015,-0.02%,3,341
01/04/2024,96.28,96.28,96.28,96.28,-0.09,-0.09%,2,340
01/03/2024,96.36,96.37,96.325,96.37,-0.015,-0.02%,3,340
01/02/2024,96.405,96.405,96.385,96.385,-0.1,-0.10%,3,343
12/29/2023,96.485,96.485,96.485,96.485,0.04,+0.04%,0,343
12/28/2023,96.475,96.475,96.445,96.445,-0.05,-0.05%,3,343
12/27/2023,96.47,96.495,96.47,96.495,0.065,+0.07%,2,341
12/26/2023,96.39,96.43,96.39,96.43,-0.025,-0.03%,2,340
12/22/2023,96.47,96.47,96.44,96.455,0.01,+0.01%,3,339
12/21/2023,96.5,96.5,96.445,96.445,0.03,+0.03%,7,337
12/20/2023,96.465,96.465,96.415,96.415,0.09,+0.09%,24,339
12/19/2023,96.325,96.325,96.325,96.325,0.015,+0.02%,1,322
12/18/2023,96.31,96.31,96.31,96.31,0.01,+0.01%,0,321
12/15/2023,96.3,96.3,96.3,96.3,-0.07,-0.07%,0,321
12/14/2023,96.37,96.37,96.37,96.37,0.095,+0.10%,3,321
12/13/2023,96.275,96.275,96.275,96.275,0.3,+0.31%,3,322
12/12/2023,95.975,95.975,95.975,95.975,-0.015,-0.02%,2,323
12/11/2023,95.99,95.99,95.955,95.99,0.01,+0.01%,0,323
12/08/2023,95.98,95.98,95.955,95.98,-0.19,-0.20%,1,323
12/07/2023,96.17,96.17,96.09,96.17,0.05,+0.05%,2,322
12/06/2023,96.115,96.12,96.115,96.12,-0.06,-0.06%,2,322
12/05/2023,96.155,96.215,96.145,96.18,0.075,+0.08%,5,320
12/04/2023,96.105,96.105,96.085,96.105,-0.09,-0.09%,0,317
12/01/2023,96.195,96.21,95.985,96.195,0.2,+0.21%,1,317
11/30/2023,95.995,95.995,95.995,95.995,-0.075,-0.08%,2,318
11/29/2023,96.07,96.07,96.07,96.07,0.155,+0.16%,1,320
11/28/2023,95.915,95.915,95.915,95.915,0.165,+0.17%,1,321
11/27/2023,95.75,95.75,95.75,95.75,0.05,+0.05%,0,322
11/24/2023,95.7,95.7,95.7,95.7,-0.05,-0.05%,0,322
11/22/2023,95.75,95.75,95.75,95.75,-0.045,-0.05%,1,322
11/21/2023,95.815,95.815,95.795,95.795,0.04,+0.04%,1,322
11/20/2023,95.755,95.755,95.755,95.755,-0.015,-0.02%,0,322
11/17/2023,95.77,95.77,95.77,95.77,-0.065,-0.07%,1,322
11/16/2023,95.86,95.86,95.835,95.835,0.09,+0.09%,64,321
11/15/2023,95.745,95.745,95.745,95.745,-0.12,-0.13%,0,258
11/14/2023,95.865,95.865,95.865,95.865,0.26,+0.27%,2,258
11/13/2023,95.605,95.605,95.605,95.605,0.035,+0.04%,0,257
11/10/2023,95.57,95.57,95.57,95.57,-0.05,-0.05%,2,257
11/09/2023,95.62,95.62,95.62,95.62,-0.09,-0.09%,0,255
11/08/2023,95.71,95.71,95.71,95.71,-0.03,-0.03%,0,255
11/07/2023,95.74,95.775,95.695,95.74,0.04,+0.04%,0,255
11/06/2023,95.7,95.7,95.695,95.7,-0.135,-0.14%,1,255
11/03/2023,95.835,95.87,95.625,95.835,0.185,+0.19%,2,256
11/02/2023,95.65,95.725,95.635,95.65,0.01,+0.01%,0,256
11/01/2023,95.64,95.69,95.64,95.64,0.155,+0.16%,146,256
10/31/2023,95.485,95.485,95.485,95.485,-0.05,-0.05%,0,126
10/30/2023,95.545,95.55,95.535,95.535,-0.025,-0.03%,189,126
10/27/2023,95.56,95.56,95.56,95.56,0.035,+0.04%,0,126
10/26/2023,95.525,95.525,95.525,95.525,0.08,+0.08%,0,126
10/25/2023,95.445,95.445,95.445,95.445,-0.06,-0.06%,0,126
10/24/2023,95.505,95.55,95.505,95.505,-0.04,-0.04%,0,126
10/23/2023,95.46,95.545,95.46,95.545,0.05,+0.05%,3,126
10/20/2023,95.495,95.495,95.495,95.495,0.11,+0.12%,21,125
10/19/2023,95.385,95.385,95.385,95.385,0.035,+0.04%,1,125
10/18/2023,95.35,95.35,95.35,95.35,-0.025,-0.03%,1,125
10/17/2023,95.375,95.375,95.375,95.375,-0.14,-0.15%,126,125
10/16/2023,95.515,95.515,95.515,95.515,-0.045,-0.05%,0,3
10/13/2023,95.57,95.57,95.56,95.56,0.005,+0.01%,2,3
10/12/2023,95.57,95.57,95.555,95.555,-0.07,-0.07%,2,4
10/11/2023,95.625,95.625,95.625,95.625,-0.045,-0.05%,0,3
10/10/2023,95.67,95.67,95.67,95.67,-0.04,-0.04%,0,3
10/09/2023,95.71,95.71,95.71,95.71,0.175,+0.18%,0,3
10/06/2023,95.535,95.535,95.535,95.535,-0.065,-0.07%,0,3
10/05/2023,95.6,95.6,95.6,95.6,0.03,+0.03%,0,3
10/04/2023,95.57,95.57,95.57,95.57,0.115,+0.12%,0,3
10/03/2023,95.455,95.455,95.455,95.455,-0.03,-0.03%,0,3
10/02/2023,95.555,95.555,95.485,95.485,-0.07,-0.07%,3,3
09/29/2023,95.555,95.555,95.555,95.555,0.025,+0.03%,0,2
09/28/2023,95.53,95.53,95.53,95.53,0.075,+0.08%,0,2
09/27/2023,95.455,95.455,95.455,95.455,-0.065,-0.07%,0,2
09/26/2023,95.52,95.52,95.52,95.52,0.01,+0.01%,0,2
09/25/2023,95.51,95.51,95.51,95.51,0.005,+0.01%,0,2
09/22/2023,95.505,95.505,95.505,95.505,0.01,+0.01%,0,2
