Time,Open,High,Low,Close,Change,%Chg,Volume,"Open Int"
12/06/2023,94.665,94.67,94.665,94.67,0.005,+0.01%,47650,381098
12/05/2023,94.665,94.67,94.665,94.665,-0.005,-0.01%,80693,391742
12/04/2023,94.665,94.67,94.665,94.67,0,0.00%,73408,402601
12/01/2023,94.665,94.67,94.665,94.67,0.005,+0.01%,130691,420915
11/30/2023,94.665,94.665,94.66,94.665,0,0.00%,80071,416455
11/29/2023,94.665,94.67,94.66,94.665,0,0.00%,79212,401284
11/28/2023,94.655,94.665,94.655,94.665,0.01,+0.01%,62591,413285
11/27/2023,94.65,94.66,94.65,94.655,0,0.00%,126936,419711
11/24/2023,94.65,94.655,94.645,94.655,0.005,+0.01%,107676,397077
11/22/2023,94.66,94.665,94.65,94.65,-0.01,-0.01%,66822,376210
11/21/2023,94.66,94.665,94.655,94.66,-0.005,-0.01%,87522,362898
11/20/2023,94.665,94.67,94.66,94.665,-0.005,-0.01%,28317,354883
11/17/2023,94.67,94.67,94.665,94.67,0,0.00%,34928,356880
11/16/2023,94.67,94.67,94.665,94.67,0,0.00%,26077,369512
11/15/2023,94.67,94.675,94.665,94.67,0,0.00%,78469,367946
11/14/2023,94.64,94.675,94.625,94.67,0.035,+0.04%,178568,372820
11/13/2023,94.64,94.65,94.635,94.635,-0.01,-0.01%,50797,383859
11/10/2023,94.645,94.65,94.64,94.645,0.005,+0.01%,64880,390590
11/09/2023,94.645,94.65,94.64,94.64,-0.01,-0.01%,88177,393811
11/08/2023,94.65,94.655,94.645,94.65,0,0.00%,29233,387413
11/07/2023,94.65,94.655,94.645,94.65,0,0.00%,76091,395038
11/06/2023,94.655,94.655,94.65,94.65,-0.005,-0.01%,76987,395776
11/03/2023,94.63,94.66,94.62,94.655,0.03,+0.03%,157648,397725
11/02/2023,94.63,94.635,94.62,94.625,0,0.00%,113923,378805
11/01/2023,94.605,94.635,94.6,94.625,0.02,+0.02%,169155,376207
10/31/2023,94.61,94.615,94.6,94.605,-0.005,-0.01%,68085,370421
10/30/2023,94.625,94.625,94.61,94.61,-0.015,-0.02%,57149,369327
10/27/2023,94.62,94.63,94.62,94.625,0.005,+0.01%,74226,365236
10/26/2023,94.605,94.625,94.595,94.62,0.02,+0.02%,118009,360515
10/25/2023,94.605,94.61,94.595,94.6,-0.005,-0.01%,35845,347662
10/24/2023,94.615,94.615,94.6,94.605,-0.005,-0.01%,101130,351921
10/23/2023,94.62,94.62,94.61,94.61,-0.01,-0.01%,42478,323784
10/20/2023,94.605,94.62,94.605,94.62,0.025,+0.03%,188517,321805
10/19/2023,94.57,94.61,94.56,94.595,0.03,+0.03%,210649,303186
10/18/2023,94.555,94.575,94.55,94.565,0.01,+0.01%,119595,322226
10/17/2023,94.58,94.585,94.545,94.555,-0.025,-0.03%,105836,297164
10/16/2023,94.585,94.585,94.58,94.58,-0.01,-0.01%,33119,300716
10/13/2023,94.58,94.595,94.58,94.59,0.015,+0.02%,58797,300322
10/12/2023,94.6,94.6,94.56,94.575,-0.02,-0.02%,155207,306613
10/11/2023,94.595,94.6,94.59,94.595,-0.005,-0.01%,112256,309227
10/10/2023,94.6,94.605,94.585,94.6,0,0.00%,60735,289710
10/09/2023,94.565,94.61,94.555,94.6,0.05,+0.05%,64661,277162
10/06/2023,94.58,94.58,94.54,94.55,-0.03,-0.03%,102775,276561
10/05/2023,94.565,94.59,94.565,94.58,0.005,+0.01%,114317,272634
10/04/2023,94.545,94.58,94.54,94.575,0.04,+0.04%,125155,261737
10/03/2023,94.545,94.55,94.52,94.535,-0.005,-0.01%,68936,250090
10/02/2023,94.555,94.56,94.53,94.54,-0.035,-0.04%,45888,248956
09/29/2023,94.575,94.585,94.57,94.575,0.005,+0.01%,56434,242418
09/28/2023,94.55,94.575,94.55,94.57,0.02,+0.02%,55401,239262
09/27/2023,94.57,94.58,94.54,94.55,-0.015,-0.02%,70262,235761
09/26/2023,94.565,94.57,94.555,94.565,0.005,+0.01%,42091,216696
09/25/2023,94.56,94.57,94.555,94.56,0.01,+0.01%,35743,214798
09/22/2023,94.54,94.56,94.54,94.55,0.01,+0.01%,67364,215106
09/21/2023,94.54,94.55,94.535,94.54,-0.01,-0.01%,139393,195294
09/20/2023,94.56,94.575,94.515,94.55,-0.005,-0.01%,142916,187550
09/19/2023,94.555,94.56,94.55,94.555,0,0.00%,104317,172110
09/18/2023,94.565,94.565,94.55,94.555,-0.005,-0.01%,58262,185386
09/15/2023,94.555,94.565,94.545,94.56,0,0.00%,50218,179512
09/14/2023,94.555,94.565,94.535,94.56,0.015,+0.02%,52920,174447
09/13/2023,94.55,94.555,94.5,94.545,-0.005,-0.01%,62339,176868
09/12/2023,94.545,94.56,94.54,94.55,0.005,+0.01%,31426,175551
09/11/2023,94.555,94.565,94.545,94.545,-0.01,-0.01%,54068,175095
09/08/2023,94.56,94.57,94.555,94.555,0,0.00%,27024,156062
09/07/2023,94.555,94.565,94.535,94.555,0,0.00%,36485,152185
09/06/2023,94.57,94.575,94.53,94.555,-0.005,-0.01%,45531,150811
09/05/2023,94.595,94.595,94.56,94.56,-0.04,-0.04%,40895,150535
09/01/2023,94.575,94.62,94.575,94.6,0.02,+0.02%,69872,152286
08/31/2023,94.565,94.59,94.56,94.58,0.01,+0.01%,46644,151015
08/30/2023,94.565,94.585,94.55,94.57,0.01,+0.01%,50738,145637
08/29/2023,94.51,94.575,94.5,94.56,0.05,+0.05%,61842,144789
08/28/2023,94.52,94.525,94.505,94.51,-0.01,-0.01%,28957,142446
08/25/2023,94.555,94.56,94.51,94.52,-0.035,-0.04%,78037,145950
08/24/2023,94.585,94.585,94.55,94.555,-0.035,-0.04%,39598,138477
08/23/2023,94.56,94.6,94.56,94.59,0.025,+0.03%,46454,136703
08/22/2023,94.565,94.575,94.56,94.565,-0.01,-0.01%,33926,135792
08/21/2023,94.605,94.605,94.565,94.575,-0.035,-0.04%,43361,135115
08/18/2023,94.605,94.615,94.6,94.61,0.02,+0.02%,34780,135394
08/17/2023,94.59,94.605,94.575,94.59,0.005,+0.01%,68273,142862
08/16/2023,94.605,94.61,94.58,94.585,-0.015,-0.02%,30323,148447
08/15/2023,94.59,94.605,94.575,94.6,0.015,+0.02%,43422,150641
08/14/2023,94.605,94.605,94.585,94.585,-0.02,-0.02%,32867,147366
08/11/2023,94.63,94.635,94.6,94.605,-0.02,-0.02%,58128,152138
08/10/2023,94.615,94.655,94.615,94.625,0.005,+0.01%,95168,159030
08/09/2023,94.625,94.635,94.615,94.62,0,0.00%,39705,177007
08/08/2023,94.62,94.635,94.615,94.62,0,0.00%,53496,184461
08/07/2023,94.63,94.63,94.605,94.62,-0.01,-0.01%,30859,175863
08/04/2023,94.61,94.64,94.58,94.63,0.025,+0.03%,66950,172401
08/03/2023,94.625,94.635,94.605,94.605,-0.02,-0.02%,57396,163206
08/02/2023,94.62,94.635,94.605,94.625,0.01,+0.01%,40184,156954
08/01/2023,94.62,94.625,94.605,94.615,-0.005,-0.01%,17138,152145
07/31/2023,94.62,94.625,94.61,94.62,0.005,+0.01%,19387,149196
07/28/2023,94.605,94.64,94.6,94.615,0.01,+0.01%,38310,145451
07/27/2023,94.61,94.63,94.585,94.605,-0.01,-0.01%,61694,140529
07/26/2023,94.6,94.62,94.57,94.615,0.025,+0.03%,60853,139605
07/25/2023,94.605,94.62,94.59,94.59,-0.025,-0.03%,44786,133039
07/24/2023,94.635,94.645,94.605,94.615,-0.02,-0.02%,25767,136133
07/21/2023,94.63,94.64,94.625,94.635,0.005,+0.01%,14307,134117
07/20/2023,94.655,94.655,94.61,94.63,-0.025,-0.03%,25898,133656
07/19/2023,94.645,94.68,94.645,94.655,0.005,+0.01%,30036,135613
07/18/2023,94.67,94.71,94.645,94.65,-0.015,-0.02%,28326,128187
07/17/2023,94.655,94.68,94.65,94.665,0.01,+0.01%,21911,126417
07/14/2023,94.7,94.71,94.65,94.655,-0.055,-0.06%,47118,126320
07/13/2023,94.675,94.735,94.67,94.71,0.035,+0.04%,85214,121335
07/12/2023,94.61,94.685,94.61,94.675,0.07,+0.07%,51412,102053
07/11/2023,94.63,94.655,94.605,94.605,-0.025,-0.03%,26745,99520
07/10/2023,94.615,94.635,94.61,94.63,0.015,+0.02%,22327,100461
07/07/2023,94.6,94.645,94.575,94.615,0.03,+0.03%,40395,100496
07/06/2023,94.64,94.64,94.545,94.585,-0.05,-0.05%,71315,99556
07/05/2023,94.625,94.65,94.625,94.635,0.005,+0.01%,35704,106559
07/03/2023,94.625,94.67,94.59,94.63,0,0.00%,28695,104094
06/30/2023,94.615,94.65,94.585,94.63,0.025,+0.03%,26683,109693
06/29/2023,94.695,94.695,94.555,94.605,-0.09,-0.10%,51315,109808
06/28/2023,94.695,94.715,94.66,94.695,0.005,+0.01%,39970,109399
06/27/2023,94.755,94.765,94.685,94.69,-0.06,-0.06%,33221,106411
06/26/2023,94.765,94.785,94.745,94.75,-0.01,-0.01%,19087,100655
06/23/2023,94.73,94.785,94.715,94.76,0.045,+0.05%,20349,99214
06/22/2023,94.77,94.78,94.68,94.715,-0.045,-0.05%,23606,98517
06/21/2023,94.785,94.785,94.73,94.76,-0.02,-0.02%,32420,94841
06/20/2023,94.785,94.805,94.76,94.78,-0.02,-0.02%,20804,90885
06/16/2023,94.815,94.82,94.75,94.8,-0.015,-0.02%,23998,92210
06/15/2023,94.82,94.84,94.75,94.815,0.015,+0.02%,46881,91810
